                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0594,                0.70684,                0.99499,                0.80717,                0.57082,                0.68941,                0.40795,                 1.3925,                0.89314,                 1.1899,               0.003169,               0.003169,               0.003169
                     71,                 1.0276,                 0.6466,                0.98786,                0.75188,                0.63939,                0.70104,                 0.4222,                 1.3686,                0.84401,                 1.1449,                0.00307,                0.00307,                0.00307
                     72,                  1.018,                0.63209,                0.96907,                0.79485,                0.64848,                0.71314,                0.42421,                 1.3971,                0.83068,                 1.1842,               0.002971,               0.002971,               0.002971
                     73,                 1.0342,                0.63386,                0.99092,                 0.7376,                0.65152,                0.69977,                0.41355,                 1.3926,                0.83821,                 1.1679,               0.002872,               0.002872,               0.002872
                     74,                 1.0565,                0.64032,                 0.9972,                0.78295,                0.61818,                0.70836,                0.42739,                 1.3926,                0.82165,                 1.1852,               0.002773,               0.002773,               0.002773
                     75,                 1.1728,                0.73671,                 1.0784,                0.77611,                0.63333,                0.69927,                0.41515,                 1.4155,                0.84499,                 1.2074,               0.002674,               0.002674,               0.002674
                     76,                 1.0157,                0.62005,                0.97746,                0.82701,                0.56499,                0.68935,                0.40218,                 1.3736,                0.85431,                 1.1762,               0.002575,               0.002575,               0.002575
                     77,                 1.0063,                0.62708,                0.97657,                0.71441,                 0.6303,                0.68903,                0.40544,                  1.368,                0.84293,                 1.1762,               0.002476,               0.002476,               0.002476
                     78,                 1.0216,                0.62756,                0.98918,                0.71334,                0.63342,                0.68366,                0.40313,                 1.4037,                0.88348,                 1.1807,               0.002377,               0.002377,               0.002377
                     79,                 1.0435,                 0.6251,                0.98768,                0.75865,                0.60303,                0.68533,                0.41115,                 1.4005,                0.85689,                 1.1847,               0.002278,               0.002278,               0.002278
                     80,                 1.0201,                0.62771,                 0.9788,                0.77809,                 0.6269,                0.71017,                0.42386,                 1.3599,                0.83098,                 1.1562,               0.002179,               0.002179,               0.002179
                     81,                 1.0175,                0.62838,                0.98447,                0.76328,                0.65464,                0.71021,                0.42789,                 1.3465,                0.84792,                  1.154,                0.00208,                0.00208,                0.00208
                     82,                 1.0335,                0.61399,                0.99067,                0.80933,                0.59168,                0.68582,                0.41364,                  1.359,                0.83614,                  1.168,               0.001981,               0.001981,               0.001981
                     83,                0.99767,                 0.6343,                0.97526,                0.78054,                0.61212,                0.69783,                0.40796,                 1.3623,                0.82162,                 1.1797,               0.001882,               0.001882,               0.001882
                     84,                0.97099,                0.60418,                0.97453,                0.79868,                0.60108,                0.69872,                0.41002,                  1.362,                0.82958,                 1.1653,               0.001783,               0.001783,               0.001783
                     85,                0.99691,                0.63576,                 0.9803,                0.77963,                0.60909,                0.70977,                0.42075,                 1.3579,                 0.8186,                 1.1596,               0.001684,               0.001684,               0.001684
                     86,                0.96741,                0.59753,                0.97074,                0.79736,                0.62424,                0.71755,                0.43099,                 1.3371,                0.80249,                 1.1513,               0.001585,               0.001585,               0.001585
                     87,                 1.0141,                0.60967,                0.97397,                0.78342,                0.62479,                0.71476,                0.42257,                 1.3679,                0.81098,                 1.1832,               0.001486,               0.001486,               0.001486
                     88,                0.97793,                0.62303,                0.96821,                0.85045,                0.60606,                0.72176,                0.42931,                 1.3403,                0.81379,                 1.1368,               0.001387,               0.001387,               0.001387
                     89,                 1.1038,                0.69375,                 1.0907,                0.79244,                0.62727,                0.72134,                0.42525,                 1.3706,                0.82086,                 1.1542,               0.001288,               0.001288,               0.001288
                     90,                 1.0218,                0.61967,                 1.0507,                0.77009,                0.61515,                0.68839,                0.40236,                 1.3851,                0.85793,                 1.1898,               0.001189,               0.001189,               0.001189
                     91,                0.89329,                0.53834,                0.90972,                0.78451,                    0.6,                0.69806,                0.42317,                 1.3583,                0.87882,                 1.1591,                0.00109,                0.00109,                0.00109
                     92,                0.86992,                0.51799,                 0.9003,                0.74546,                0.62122,                0.70262,                0.41929,                 1.3509,                0.85969,                 1.1548,               0.000991,               0.000991,               0.000991
                     93,                0.86727,                0.51171,                0.91286,                0.75458,                0.63333,                0.71828,                0.43322,                 1.3209,                0.84149,                 1.1496,               0.000892,               0.000892,               0.000892
                     94,                0.87608,                0.55689,                0.90322,                 0.8168,                0.59697,                0.71936,                0.43014,                 1.3362,                0.83575,                 1.1581,               0.000793,               0.000793,               0.000793
                     95,                0.86449,                0.49768,                 0.8938,                0.75626,                 0.6303,                0.71409,                0.42887,                 1.3474,                0.84167,                  1.159,               0.000694,               0.000694,               0.000694
                     96,                0.82118,                0.49018,                 0.8929,                0.75837,                0.64675,                0.71724,                0.43203,                 1.3394,                0.84346,                  1.155,               0.000595,               0.000595,               0.000595
                     97,                0.87925,                0.53066,                0.91814,                0.81252,                0.61818,                0.71667,                0.42801,                  1.344,                0.83491,                 1.1614,               0.000496,               0.000496,               0.000496
                     98,                0.82462,                0.47278,                0.88838,                0.78705,                0.62727,                0.71435,                0.43289,                 1.3285,                0.82978,                 1.1581,               0.000397,               0.000397,               0.000397
                     99,                0.82426,                0.47917,                0.88976,                0.77296,                0.62931,                0.71222,                0.43294,                 1.3255,                0.83864,                 1.1533,               0.000298,               0.000298,               0.000298
